REF_DATE,GEO,DGUID,Labour force status (8),Age (15A),Coordinate,Gender (3):Total - Gender[1],Symbol,Gender (3):Men+[2],Symbol,Gender (3):Women+[3],Symbol
2021,Division No.  1,2021A00031001,In the labour force,75 years and over,3.2.15,740,,530,,210,
2021,Division No.  1,2021A00031001,Employed,Total - Age,3.3.1,121190,,59825,,61360,
2021,Division No.  1,2021A00031001,Employed,15 to 24 years,3.3.2,14650,,7125,,7520,
2021,Division No.  1,2021A00031001,Employed,15 to 19 years,3.3.3,4765,,2140,,2625,
2021,Division No.  1,2021A00031001,Employed,20 to 24 years,3.3.4,9880,,4995,,4890,
2021,Division No.  1,2021A00031001,Employed,25 to 64 years,3.3.5,100685,,49165,,51520,
2021,Division No.  1,2021A00031001,Employed,25 to 54 years,3.3.6,79770,,38325,,41445,
2021,Division No.  1,2021A00031001,Employed,25 to 34 years,3.3.7,23785,,11540,,12240,
2021,Division No.  1,2021A00031001,Employed,25 to 29 years,3.3.8,11110,,5460,,5645,
2021,Division No.  1,2021A00031001,Employed,30 to 34 years,3.3.9,12675,,6080,,6600,
2021,Division No.  1,2021A00031001,Employed,35 to 44 years,3.3.10,27515,,13270,,14245,
2021,Division No.  1,2021A00031001,Employed,45 to 54 years,3.3.11,28470,,13515,,14950,
2021,Division No.  1,2021A00031001,Employed,55 to 64 years,3.3.12,20915,,10835,,10075,
2021,Division No.  1,2021A00031001,Employed,65 years and over,3.3.13,5860,,3535,,2325,
2021,Division No.  1,2021A00031001,Employed,65 to 74 years,3.3.14,5215,,3065,,2155,
2021,Division No.  1,2021A00031001,Employed,75 years and over,3.3.15,640,,470,,170,
2021,Division No.  1,2021A00031001,Unemployed,Total - Age,3.4.1,16915,,10130,,6780,
2021,Division No.  1,2021A00031001,Unemployed,15 to 24 years,3.4.2,3455,,1930,,1525,
2021,Division No.  1,2021A00031001,Unemployed,15 to 19 years,3.4.3,1215,,635,,575,
2021,Division No.  1,2021A00031001,Unemployed,20 to 24 years,3.4.4,2245,,1295,,955,
2021,Division No.  1,2021A00031001,Unemployed,25 to 64 years,3.4.5,12295,,7440,,4860,
2021,Division No.  1,2021A00031001,Unemployed,25 to 54 years,3.4.6,9045,,5450,,3595,
2021,Division No.  1,2021A00031001,Unemployed,25 to 34 years,3.4.7,3375,,2055,,1315,
2021,Division No.  1,2021A00031001,Unemployed,25 to 29 years,3.4.8,1605,,1055,,550,
2021,Division No.  1,2021A00031001,Unemployed,30 to 34 years,3.4.9,1765,,1005,,765,
2021,Division No.  1,2021A00031001,Unemployed,35 to 44 years,3.4.10,2910,,1685,,1230,
2021,Division No.  1,2021A00031001,Unemployed,45 to 54 years,3.4.11,2760,,1715,,1045,
2021,Division No.  1,2021A00031001,Unemployed,55 to 64 years,3.4.12,3255,,1990,,1265,
2021,Division No.  1,2021A00031001,Unemployed,65 years and over,3.4.13,1155,,760,,400,
2021,Division No.  1,2021A00031001,Unemployed,65 to 74 years,3.4.14,1055,,700,,360,
2021,Division No.  1,2021A00031001,Unemployed,75 years and over,3.4.15,95,,55,,40,
2021,Division No.  1,2021A00031001,Not in the labour force,Total - Age,3.5.1,91175,,41025,,50145,
2021,Division No.  1,2021A00031001,Not in the labour force,15 to 24 years,3.5.2,11585,,6325,,5255,
2021,Division No.  1,2021A00031001,Not in the labour force,15 to 19 years,3.5.3,7975,,4415,,3565,
2021,Division No.  1,2021A00031001,Not in the labour force,20 to 24 years,3.5.4,3610,,1910,,1695,
2021,Division No.  1,2021A00031001,Not in the labour force,25 to 64 years,3.5.5,33145,,13930,,19215,
2021,Division No.  1,2021A00031001,Not in the labour force,25 to 54 years,3.5.6,15970,,6890,,9080,
2021,Division No.  1,2021A00031001,Not in the labour force,25 to 34 years,3.5.7,5060,,2295,,2760,
2021,Division No.  1,2021A00031001,Not in the labour force,25 to 29 years,3.5.8,2755,,1295,,1460,
2021,Division No.  1,2021A00031001,Not in the labour force,30 to 34 years,3.5.9,2300,,1000,,1300,
2021,Division No.  1,2021A00031001,Not in the labour force,35 to 44 years,3.5.10,4760,,1985,,2775,
2021,Division No.  1,2021A00031001,Not in the labour force,45 to 54 years,3.5.11,6150,,2610,,3545,
2021,Division No.  1,2021A00031001,Not in the labour force,55 to 64 years,3.5.12,17180,,7040,,10135,
2021,Division No.  1,2021A00031001,Not in the labour force,65 years and over,3.5.13,46445,,20765,,25675,
2021,Division No.  1,2021A00031001,Not in the labour force,65 to 74 years,3.5.14,27975,,12630,,15345,
2021,Division No.  1,2021A00031001,Not in the labour force,75 years and over,3.5.15,18465,,8140,,10330,
2021,Division No.  1,2021A00031001,Participation rate,Total - Age,3.6.1,60.2,,63.0,,57.6,
2021,Division No.  1,2021A00031001,Participation rate,15 to 24 years,3.6.2,61.0,,58.9,,63.2,
2021,Division No.  1,2021A00031001,Participation rate,15 to 19 years,3.6.3,42.9,,38.6,,47.3,
2021,Division No.  1,2021A00031001,Participation rate,20 to 24 years,3.6.4,77.1,,76.6,,77.5,
2021,Division No.  1,2021A00031001,Participation rate,25 to 64 years,3.6.5,77.3,,80.3,,74.6,
2021,Division No.  1,2021A00031001,Participation rate,25 to 54 years,3.6.6,84.8,,86.4,,83.2,
2021,Division No.  1,2021A00031001,Participation rate,25 to 34 years,3.6.7,84.3,,85.6,,83.1,
2021,Division No.  1,2021A00031001,Participation rate,25 to 29 years,3.6.8,82.2,,83.4,,80.9,
2021,Division No.  1,2021A00031001,Participation rate,30 to 34 years,3.6.9,86.3,,87.6,,85.0,
2021,Division No.  1,2021A00031001,Participation rate,35 to 44 years,3.6.10,86.5,,88.3,,84.8,
2021,Division No.  1,2021A00031001,Participation rate,45 to 54 years,3.6.11,83.5,,85.4,,81.9,
2021,Division No.  1,2021A00031001,Participation rate,55 to 64 years,3.6.12,58.5,,64.5,,52.8,
2021,Division No.  1,2021A00031001,Participation rate,65 years and over,3.6.13,13.1,,17.1,,9.6,
2021,Division No.  1,2021A00031001,Participation rate,65 to 74 years,3.6.14,18.3,,22.9,,14.1,
2021,Division No.  1,2021A00031001,Participation rate,75 years and over,3.6.15,3.9,,6.1,,2.0,
2021,Division No.  1,2021A00031001,Employment rate,Total - Age,3.7.1,52.9,,53.9,,51.9,
2021,Division No.  1,2021A00031001,Employment rate,15 to 24 years,3.7.2,49.3,,46.3,,52.6,
2021,Division No.  1,2021A00031001,Employment rate,15 to 19 years,3.7.3,34.1,,29.7,,38.8,
2021,Division No.  1,2021A00031001,Employment rate,20 to 24 years,3.7.4,62.8,,60.9,,64.9,
2021,Division No.  1,2021A00031001,Employment rate,25 to 64 years,3.7.5,68.9,,69.7,,68.2,
2021,Division No.  1,2021A00031001,Employment rate,25 to 54 years,3.7.6,76.1,,75.6,,76.6,
2021,Division No.  1,2021A00031001,Employment rate,25 to 34 years,3.7.7,73.8,,72.6,,75.0,
2021,Division No.  1,2021A00031001,Employment rate,25 to 29 years,3.7.8,71.8,,69.9,,73.7,
2021,Division No.  1,2021A00031001,Employment rate,30 to 34 years,3.7.9,75.7,,75.2,,76.2,
2021,Division No.  1,2021A00031001,Employment rate,35 to 44 years,3.7.10,78.2,,78.4,,78.0,
2021,Division No.  1,2021A00031001,Employment rate,45 to 54 years,3.7.11,76.2,,75.8,,76.5,
2021,Division No.  1,2021A00031001,Employment rate,55 to 64 years,3.7.12,50.6,,54.5,,46.9,
2021,Division No.  1,2021A00031001,Employment rate,65 years and over,3.7.13,11.0,,14.1,,8.2,
2021,Division No.  1,2021A00031001,Employment rate,65 to 74 years,3.7.14,15.2,,18.7,,12.1,
2021,Division No.  1,2021A00031001,Employment rate,75 years and over,3.7.15,3.3,,5.4,,1.6,
2021,Division No.  1,2021A00031001,Unemployment rate,Total - Age,3.8.1,12.2,,14.5,,9.9,
2021,Division No.  1,2021A00031001,Unemployment rate,15 to 24 years,3.8.2,19.1,,21.3,,16.9,
2021,Division No.  1,2021A00031001,Unemployment rate,15 to 19 years,3.8.3,20.3,,22.9,,18.0,
2021,Division No.  1,2021A00031001,Unemployment rate,20 to 24 years,3.8.4,18.5,,20.6,,16.3,
2021,Division No.  1,2021A00031001,Unemployment rate,25 to 64 years,3.8.5,10.9,,13.1,,8.6,
2021,Division No.  1,2021A00031001,Unemployment rate,25 to 54 years,3.8.6,10.2,,12.4,,8.0,
2021,Division No.  1,2021A00031001,Unemployment rate,25 to 34 years,3.8.7,12.4,,15.1,,9.7,
2021,Division No.  1,2021A00031001,Unemployment rate,25 to 29 years,3.8.8,12.6,,16.2,,8.9,
2021,Division No.  1,2021A00031001,Unemployment rate,30 to 34 years,3.8.9,12.2,,14.2,,10.4,
2021,Division No.  1,2021A00031001,Unemployment rate,35 to 44 years,3.8.10,9.6,,11.3,,7.9,
2021,Division No.  1,2021A00031001,Unemployment rate,45 to 54 years,3.8.11,8.8,,11.3,,6.5,
2021,Division No.  1,2021A00031001,Unemployment rate,55 to 64 years,3.8.12,13.5,,15.5,,11.2,
2021,Division No.  1,2021A00031001,Unemployment rate,65 years and over,3.8.13,16.5,,17.7,,14.7,
2021,Division No.  1,2021A00031001,Unemployment rate,65 to 74 years,3.8.14,16.8,,18.6,,14.3,
2021,Division No.  1,2021A00031001,Unemployment rate,75 years and over,3.8.15,12.8,,10.4,,19.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,Total - Age,4.1.1,40,,20,,20,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,15 to 24 years,4.1.2,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,15 to 19 years,4.1.3,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,20 to 24 years,4.1.4,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,25 to 64 years,4.1.5,25,,15,,15,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,25 to 54 years,4.1.6,20,,15,,10,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,25 to 34 years,4.1.7,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,25 to 29 years,4.1.8,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,30 to 34 years,4.1.9,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,35 to 44 years,4.1.10,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,45 to 54 years,4.1.11,20,,15,,10,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,55 to 64 years,4.1.12,10,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,65 years and over,4.1.13,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,65 to 74 years,4.1.14,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Labour force status,75 years and over,4.1.15,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,Total - Age,4.2.1,20,,10,,15,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,15 to 24 years,4.2.2,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,15 to 19 years,4.2.3,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,20 to 24 years,4.2.4,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,25 to 64 years,4.2.5,20,,10,,15,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,25 to 54 years,4.2.6,15,,0,,10,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,25 to 34 years,4.2.7,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,25 to 29 years,4.2.8,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,30 to 34 years,4.2.9,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,35 to 44 years,4.2.10,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,45 to 54 years,4.2.11,15,,0,,10,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,55 to 64 years,4.2.12,10,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,65 years and over,4.2.13,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,65 to 74 years,4.2.14,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,In the labour force,75 years and over,4.2.15,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,Total - Age,4.3.1,15,,0,,15,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,15 to 24 years,4.3.2,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,15 to 19 years,4.3.3,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,20 to 24 years,4.3.4,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,25 to 64 years,4.3.5,15,,0,,15,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,25 to 54 years,4.3.6,10,,0,,10,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,25 to 34 years,4.3.7,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,25 to 29 years,4.3.8,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,30 to 34 years,4.3.9,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,35 to 44 years,4.3.10,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,45 to 54 years,4.3.11,10,,0,,10,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,55 to 64 years,4.3.12,10,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,65 years and over,4.3.13,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,65 to 74 years,4.3.14,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employed,75 years and over,4.3.15,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,Total - Age,4.4.1,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,15 to 24 years,4.4.2,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,15 to 19 years,4.4.3,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,20 to 24 years,4.4.4,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,25 to 64 years,4.4.5,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,25 to 54 years,4.4.6,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,25 to 34 years,4.4.7,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,25 to 29 years,4.4.8,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,30 to 34 years,4.4.9,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,35 to 44 years,4.4.10,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,45 to 54 years,4.4.11,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,55 to 64 years,4.4.12,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,65 years and over,4.4.13,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,65 to 74 years,4.4.14,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployed,75 years and over,4.4.15,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,Total - Age,4.5.1,20,,15,,10,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,15 to 24 years,4.5.2,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,15 to 19 years,4.5.3,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,20 to 24 years,4.5.4,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,25 to 64 years,4.5.5,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,25 to 54 years,4.5.6,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,25 to 34 years,4.5.7,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,25 to 29 years,4.5.8,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,30 to 34 years,4.5.9,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,35 to 44 years,4.5.10,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,45 to 54 years,4.5.11,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,55 to 64 years,4.5.12,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,65 years and over,4.5.13,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,65 to 74 years,4.5.14,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Not in the labour force,75 years and over,4.5.15,0,,0,,0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,Total - Age,4.6.1,50.0,,50.0,,75.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,15 to 24 years,4.6.2,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,15 to 19 years,4.6.3,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,20 to 24 years,4.6.4,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,25 to 64 years,4.6.5,80.0,,66.7,,100.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,25 to 54 years,4.6.6,75.0,,0.0,,100.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,25 to 34 years,4.6.7,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,25 to 29 years,4.6.8,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,30 to 34 years,4.6.9,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,35 to 44 years,4.6.10,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,45 to 54 years,4.6.11,75.0,,0.0,,100.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,55 to 64 years,4.6.12,100.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,65 years and over,4.6.13,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,65 to 74 years,4.6.14,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Participation rate,75 years and over,4.6.15,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,Total - Age,4.7.1,37.5,,0.0,,75.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,15 to 24 years,4.7.2,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,15 to 19 years,4.7.3,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,20 to 24 years,4.7.4,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,25 to 64 years,4.7.5,60.0,,0.0,,100.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,25 to 54 years,4.7.6,50.0,,0.0,,100.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,25 to 34 years,4.7.7,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,25 to 29 years,4.7.8,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,30 to 34 years,4.7.9,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,35 to 44 years,4.7.10,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,45 to 54 years,4.7.11,50.0,,0.0,,100.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,55 to 64 years,4.7.12,100.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,65 years and over,4.7.13,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,65 to 74 years,4.7.14,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Employment rate,75 years and over,4.7.15,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployment rate,Total - Age,4.8.1,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. V",2021A00051001101,Unemployment rate,15 to 24 years,4.8.2,0.0,,0.0,,0.0,
