CSDNAME,CSDUID,Proportion of the Labour Force that is Men+ (%),Proportion of the Employed Population that is Men+ (%)
Rhineland,4603041,61.7375,62.7376
Stanley,4603047,59.4564,60.3571
Winkler,4603050,56.5476,56.9099
Morden,4603053,54.2886,54.7541
Thompson,4603058,53.3898,54.3103
Roland,4603062,62.069,62.2807
Morris,4603065,57.9861,59.1398
Morris,4603067,53.6082,53.8889
Dufferin,4603072,56.6406,57.0281
Carman,4603074,53.6765,53.876
Pembina,4604034,55,55.7522
Louise,4604040,56.7251,56.3636
Cartwright-Roblin,4604052,53.9216,53
Argyle,4604057,56.5657,55.3191
Lorne,4604064,56.4626,56.2724
Killarney - Turtle Mountain,4605025,52.5806,53.3333
Boissevain-Morton,4605032,56.8807,56.1905
Deloraine-Winchester,4605038,54.902,54.6667
Brenda-Waskada,4605044,54.6667,52.8571
Melita,4605052,54.4554,54.9451
Two Borders,4605056,52.5547,52.2727
Grassland,4605062,52.027,52.8571
Prairie Lakes,4605071,51.9481,52.349
Sifton,4606016,50.3759,51.1628
Pipestone,4606023,52.4476,52.2727
Canupawakpa Dakota First Nation (Oak Lake 59),4606029,50,46.1538
Wallace-Woodworth,4606031,55.9727,55.6338
Virden,4606034,51.1401,49.6429
Sioux Valley Dakota Nation,4606040,50.8772,46.8085
Glenboro-South Cypress,4607039,58.1818,58.7629
Oakland-Wawanesa,4607046,55.4217,55.8442
Souris-Glenwood,4607052,50.2128,49.3151
Whitehead,4607057,53.9267,54.6961
Cornwallis,4607060,55.8767,56.2992
Brandon,4607062,51.9978,52.2391
North Cypress-Langford,4607066,55.9701,56.917
Carberry,4607068,49.4318,48.4848
Elton,4607071,55.4795,55.0725
Riverdale,4607076,52.809,53.012
Norfolk-Treherne,4608032,58.6667,60
Victoria,4608042,50.4587,50.9434
North Norfolk,4608046,57.9832,57.3529
Glenella-Lansdowne,4608055,52.1277,53.8462
WestLake-Gladstone,4608060,53.5055,53.0303
Sandy Bay 5,4608069,54.1667,52.2388
Grey,4609018,56.5217,56.25
Portage la Prairie,4609024,54.1935,54.6233
Long Plain 6,4609025,55.5556,52
Dakota Plains 6A,4609026,50,66.6667
Dakota Tipi 1,4609027,61.5385,60
Portage la Prairie,4609029,50.6594,50.9182
Macdonald,4610035,54.0628,54.1524
Cartier,4610043,54.8117,55.9091
St. François Xavier,4610052,54.0373,53.6424
Winnipeg,4611040,52.1032,52.1134
Headingley,4611042,53.4146,53.6082
Springfield,4612047,53.913,53.9498
Brokenhead,4612054,56.6724,57.7861
Beausejour,4612056,50.1484,50.8251
East St. Paul,4613032,52.3763,52.5389
West St. Paul,4613037,52.7248,53.207
St. Andrews,4613043,53.5659,53.4326
Selkirk,4613047,48.6928,48.3636
Dunnottar,4613049,55.4217,53.5211
St. Clements,4613056,52.7316,52.3891
Brokenhead 4,4613062,58.3333,53.3333
Rosser,4614015,56.9106,56.25
Woodlands,4614031,53.0612,52.8947
Rockwood,4614036,54.7382,55.0132
Stonewall,4614039,50.2947,50.5092
Teulon,4614042,53.9823,54.1284
Neepawa,4615020,59.9034,60.2649
Oakview,4615032,54.5455,55.0265
Hamiota,4615037,48.0916,48.0315
Birdtail Creek 57,4615042,50,36.3636
Ellice-Archie,4615047,61.0526,62.6374
Prairie View,4615056,58.2938,58.209
Yellowhead,4615063,53.3333,52.9412
Keeseekoowenin 61,4615067,45.7143,46.6667
Harrison Park,4615070,53.9773,54.8193
Rolling River 67,4615071,43.75,42.8571
Rolling River 67B,4615072,66.6667,0
Minto-Odanah,4615074,53.9823,52.7778
Minnedosa,4615075,49.4071,49.7942
Rosedale,4615078,59.3496,58.3333
Clanwilliam-Erickson,4615092,48.2353,48.1481
Rossburn,4616005,55.6701,56.8421
Waywayseecappo First Nation,4616017,51.2821,51.6667
Riding Mountain West,4616020,55.2941,56.2874
Gambler 63 (Part),4616025,66.6667,60
Russell-Binscarth,4616030,52.3466,52.7132
Valley River 63A,4616046,43.75,40
Hillsburg-Roblin-Shell River,4616048,52.349,51.9164
Alonsa,4617026,55,52.439
Ebb and Flow 52,4617029,48.4848,44.4444
McCreary,4617035,56.0976,57.7465
Ste. Rose,4617041,56.8,53.4483
Dauphin,4617048,54.3933,53.0702
Dauphin,4617050,50.1987,49.5035
Gilbert Plains,4617054,59.4406,58.7786
Grandview,4617058,54.0984,51.7241
Ethelbert,4617064,64.2857,61.5385
Mossey River,4617072,50.7576,43.2432
Lakeshore,4617075,53.0435,54.1284
"Division No. 17, Unorganized",4617092,46.6667,46.6667
Gimli,4618031,53.7801,52.3077
Winnipeg Beach,4618034,49.1935,51.8868
Armstrong,4618037,57.672,59.1954
St. Laurent,4618040,54.1353,53.8462
Coldwell,4618044,53.0769,52.8926
Dog Creek 46,4618055,50,47.2222
West Interlake,4618056,50.8696,50.5
Grahamdale,4618060,56.6929,55.4622
Obushkudayang,4618061,55.5556,57.1429
Little Saskatchewan 48,4618063,53.5714,50
Fairford 50,4618067,52.459,48.9796
Fisher,4618068,51.2987,51.7483
Arborg,4618074,51.2605,50.8772
Bifrost-Riverton,4618076,61.4887,61.3793
"Division No. 18, Unorganized, East Part",4618091,50,66.6667
Shoal River 65B,4619040,66.6667,50
"Division No. 19, Unorganized",4619045,55.4348,54.1401
Fort Alexander 3,4619050,52.459,52.6316
Bloodvein 12,4619052,50,52.9412
Hole or Hollow Water 10,4619053,46.1538,42.8571
Black River 9,4619054,45,42.8571
Fisher River 44,4619056,50.5495,50
Fisher River 44A,4619058,66.6667,66.6667
Peguis 1B,4619059,49.1429,46.5278
Jackhead 43,4619061,52.6316,53.3333
Dauphin River 48A,4619062,50,37.5
Crane River 51,4619068,46.1538,50
Waterhen 45,4619069,40,47.0588
Pine Creek 66A,4619070,47.0588,46.4286
Shoal River Indian Reserve 65A,4619072,58.0645,60
Berens River 13,4619077,50.7937,51.0638
Mountain (South),4620032,61.9048,64.8649
Swan Valley West,4620042,56.962,56.25
Swan River,4620048,50,51.0903
Minitonas-Bowsman,4620051,49.6933,47.7419
Mountain (North),4620055,43.1818,40.4762
Wuskwi Sipihk First Nation 2,4620060,66.6667,50
Grand Rapids,4621025,100,100
Grand Rapids 33,4621027,47.5,41.9355
Chemawawin 2,4621029,50,49.0196
Opaskwayak Cree Nation 21A,4621033,56,57.8947
Opaskwayak Cree Nation 21B,4621034,57.1429,57.1429
Opaskwayak Cree Nation 21I,4621040,54.5455,44.4444
Opaskwayak Cree Nation 21E,4621043,51.5528,50
The Pas,4621045,52.3214,50.6931
Kelsey,4621052,52,51.6432
Moose Lake 31A,4621058,56.8182,52.6316
Flin Flon (Part),4621064,54.1582,53.913
Snow Lake,4621071,57.6,58.6777
"Division No. 21, Unorganized",4621078,59.7015,56.5217
Moose Lake 31D,4621080,41.6667,50
Thompson,4622026,52.0769,52.0675
Red Sucker Lake 1976A,4622045,50,50
"Division No. 22, Unorganized",4622046,50.8876,48.1481
Garden Hill First Nation,4622048,59.1549,57.1429
God's Lake 23,4622049,56.6265,52.7778
Cross Lake 19,4622051,54.717,54.7619
Cross Lake 19A,4622052,59.5041,57.9545
God's River 86A,4622055,57.1429,55.5556
Red Sucker Lake 1976,4622056,52.8302,55.2632
Norway House 17,4622058,52.381,52.5292
Nelson House 170,4622059,54.3624,53.5433
Split Lake 171,4622063,51.4286,52.6786
Ilford,4622064,57.1429,50
York Landing,4622065,51.4286,48.3871
Cross Lake 19E,4622067,57.5,55.8824
Wasagamack,4622800,52.1739,52.0548
St. Theresa Point,4622801,55.0505,55.4878
Mooseocoot,4622802,60,50
Gillam,4623022,55.1402,54.1667
A Kwis Ki Mahka,4623023,50,66.6667
Fox Lake 2,4623027,40,42.8571
Leaf Rapids,4623034,42.8571,45.4545
South Indian Lake,4623037,58.0645,58.0645
O-Pipon-Na-Piwin Cree Nation 1,4623040,90,80
Lynn Lake,4623047,54.2857,54.5455
Churchill,4623056,48.8636,49.2754
"Division No. 23, Unorganized",4623062,66.6667,44.4444
Lac Brochet 197A,4623067,53.4884,50
Black Sturgeon,4623800,77.7778,85.7143
Argyle No. 1,4701001,61.7647,62.5
Gainsborough,4701002,60,52.9412
Carievale,4701004,63.6364,44.4444
Mount Pleasant No. 2,4701006,55.3191,55.3191
Carnduff,4701008,55.1402,54.5455
Enniskillen No. 3,4701011,58,58
Glen Ewen,4701012,61.9048,65
Oxbow,4701014,56.0606,54.8387
Coalfields No. 4,4701016,54.8387,53.3333
Frobisher,4701017,63.1579,64.7059
North Portal,4701018,57.1429,66.6667
Roche Percée,4701019,55.5556,71.4286
Bienfait,4701021,60,56.9231
Estevan No. 5,4701022,58.5185,60.3175
Estevan,4701024,54.2642,54.7425
Benson No. 35,4701027,54.386,50.9091
Browning No. 34,4701031,54.717,54.717
Lampman,4701032,53.0303,53.9683
Moose Creek No. 33,4701036,53.8462,51.3514
Alameda,4701037,64.5161,64.2857
Reciprocity No. 32,4701039,56.5217,54.5455
Alida,4701041,58.3333,58.3333
Storthoaks No. 31,4701043,53.6585,53.6585
Storthoaks,4701044,50,50
Antler No. 61,4701047,54.2373,55.1724
Redvers,4701049,51.1364,52.381
Moose Mountain No. 63,4701053,57.1429,56.6038
Manor,4701054,56.7568,61.2903
Carlyle,4701056,52.439,51.5924
Brock No. 64,4701058,58.8235,60.6061
Arcola,4701059,53.2468,52.7027
Kisbey,4701061,62.5,62.5
Tecumseh No. 65,4701063,58.8235,58.8235
Stoughton,4701066,50.7692,48.3333
Golden West No. 95,4701069,55.3191,56.5217
Hazelwood No. 94,4701072,58.0645,62.069
Wawken No. 93,4701076,50.7246,50.7692
Kennedy,4701077,65.3846,62.5
Wawota,4701078,42.2222,45
Kenosee Lake,4701079,42.1053,42.1053
Walpole No. 92,4701091,51.1628,51.1628
Maryfield No. 91,4701094,68,64
Maryfield,4701096,63.6364,62.5
White Bear 70,4701808,48.9362,46.875
Ocean Man 69,4701809,55.5556,50
Pheasant Rump Nakota 68,4701819,60,0
Cambria No. 6,4702001,55.8824,55.8824
Torquay,4702002,52.6316,46.6667
Souris Valley No. 7,4702006,61.5385,61.5385
Lake Alma No. 8,4702011,56.6667,56.6667
Surprise Valley No. 9,4702014,61.5385,60.8696
Minton,4702016,40,40
Happy Valley No. 10,4702018,61.5385,61.5385
Bengough,4702023,53.3333,53.3333
Bengough No. 40,4702024,48.5714,48.5714
The Gap No. 39,4702026,57.6923,57.6923
Ceylon,4702028,72.7273,72.7273
Laurier No. 38,4702029,53.3333,53.3333
Radville,4702031,55.4217,55.6962
Lomond No. 37,4702033,52.7778,54.2857
Cymri No. 36,4702037,55.2239,56.25
Halbrite,4702038,63.6364,70
Midale,4702039,61.7021,60
Macoun,4702041,51.7241,50
Griffin No. 66,4702042,53.3333,52.2727
Weyburn No. 67,4702044,54.0984,54.386
Weyburn,4702047,52.3892,51.4071
McTaggart,4702048,61.5385,61.5385
Brokenshell No. 68,4702051,65.7143,61.7647
Norton No. 69,4702052,63.3333,65.5172
Pangman,4702054,38.4615,33.3333
Key West No. 70,4702057,51.8519,51.8519
Ogema,4702058,56.0976,54.0541
Elmsthorpe No. 100,4702061,61.1111,61.1111
Avonlea,4702062,52.5,52.5
Caledonia No. 99,4702066,57.1429,57.1429
Milestone,4702067,50.7042,51.5152
Scott No. 98,4702069,61.7647,63.6364
Lang,4702071,35.7143,45.4545
Yellow Grass,4702072,48.7805,47.3684
Wellington No. 97,4702073,60,61.7647
Fillmore No. 96,4702076,57.6923,57.6923
Fillmore,4702078,56.6667,59.2593
Creelman,4702079,83.3333,66.6667
Hart Butte No. 11,4703001,61.2903,61.2903
Coronach,4703004,51.6667,52.6316
Poplar Valley No. 12,4703006,51.7241,56
Rockglen,4703009,59.375,59.375
Old Post No. 43,4703011,52.9412,54.5455
Glen McPherson No. 46,4703016,58.3333,58.3333
Mankota No. 45,4703018,48.5714,48.4848
Mankota,4703019,61.5385,70
Waverley No. 44,4703022,54.5455,52.381
Willow Bunch No. 42,4703026,59.5238,61.5385
Willow Bunch,4703028,51.6129,48.1481
Excel No. 71,4703029,52.9412,52.9412
Lake of the Rivers No. 72,4703034,54.8387,60.7143
Assiniboia,4703036,54.0179,53.7736
Stonehenge No. 73,4703038,55,57.8947
Limerick,4703041,64.7059,64.2857
Wood River No. 74,4703042,60.9756,64.1026
Lafleche,4703044,45.7143,45.7143
Pinto Creek No. 75,4703048,48.1481,48.1481
Kincaid,4703051,83.3333,75
Hazenmore,4703052,57.1429,57.1429
Auvergne No. 76,4703054,51.6129,53.3333
Ponteix,4703058,57.7778,64.1026
Whiska Creek No. 106,4703059,61.5385,58.9744
Neville,4703061,50,50
Vanguard,4703062,55,55
Glen Bain No. 105,4703064,55.5556,55.5556
Gravelbourg No. 104,4703068,59.4595,59.4595
Gravelbourg,4703071,53.9216,53.0612
Sutton No. 103,4703074,48,45.4545
Mossbank,4703092,70.2703,69.4444
Lake Johnston No. 102,4703093,60,61.1111
Terrell No. 101,4703096,58.6207,58.6207
Val Marie,4704002,64.7059,64.7059
Val Marie No. 17,4704003,58.0645,60
Lone Tree No. 18,4704006,60,60
Climax,4704009,38.4615,36.3636
Frontier No. 19,4704011,54.5455,54.5455
Frontier,4704012,55.3191,59.5238
Reno No. 51,4704019,57.4468,58.6957
White Valley No. 49,4704024,55.1724,54.386
Eastend,4704026,52,51.0204
Wise Creek No. 77,4704028,53.3333,55.1724
Cadillac,4704029,53.8462,63.6364
Grassy Creek No. 78,4704034,56.4103,56.4103
Shaunavon,4704036,50,50.8287
Arlington No. 79,4704038,59.2593,62.5
Maple Creek No. 111,4704045,51.5464,51.6129
Maple Creek,4704048,51.8868,50.7538
Piapot No. 110,4704050,50,52.9412
Carmichael No. 109,4704054,54.5455,54.5455
Bone Creek No. 108,4704058,59.5238,58.9744
Lac Pelletier No. 107,4704061,51.7857,54.717
Nekaneet Cree Nation,4704802,40,33.3333
Moosomin No. 121,4705001,59.7561,58.75
Fleming,4705002,42.8571,50
Moosomin,4705004,52.809,52.9412
Martin No. 122,4705007,51.7241,51.7241
Wapella,4705009,56.25,53.5714
Silverwood No. 123,4705011,57.1429,57.1429
Kingsley No. 124,4705014,60,58.9744
Kipling,4705016,54.8077,55
Chester No. 125,4705018,52.381,50
Windthorst,4705019,62.5,62.5
Glenavon,4705021,76.9231,81.8182
Wolseley,4705024,52.0548,51.4286
Wolseley No. 155,4705027,54.5455,55.814
Elcapo No. 154,4705028,54.1667,55.3191
Grenfell,4705029,52.8736,50
Broadview,4705031,55.2632,52.7778
Willowdale No. 153,4705033,61.2903,61.2903
Whitewood,4705034,53.5714,53.75
Rocanville No. 151,4705037,51.3158,50.7042
Rocanville,4705038,55.6701,56.5217
Spy Hill No. 152,4705041,48.8372,48.7805
Tantallon,4705042,85.7143,85.7143
Spy Hill,4705043,56.5217,59.0909
Gerald,4705044,63.6364,75
Langenburg No. 181,4705047,53.6232,52.2388
Langenburg,4705048,52.1739,52.2936
Fertile Belt No. 183,4705051,57.1429,59.1549
Esterhazy,4705052,54.6939,53.8462
Bird's Point,4705055,60.8696,59.0909
Stockholm,4705056,52.381,52.381
Grayson No. 184,4705057,55.5556,57.6271
Dubuc,4705058,37.5,50
Grayson,4705059,53.8462,53.8462
Killaly,4705062,100,100
McLeod No. 185,4705063,58.6957,60.4651
Neudorf,4705064,58.3333,55.5556
Lemberg,4705066,52.9412,54.5455
Stanley No. 215,4705067,55,55.1724
Fenwood,4705071,75,75
Cana No. 214,4705073,52.3364,50.9804
Melville,4705074,52.9551,53.7275
Saltcoats No. 213,4705077,60.241,61.7284
Saltcoats,4705078,50,50
Bredenbury,4705079,63.6364,66.6667
Churchbridge No. 211,4705093,58.2418,59.5506
Churchbridge,4705094,55.4455,53.125
Cowessess 73,4705803,48.9796,43.5897
Kahkewistahaw 72,4705804,47.619,48.4848
Sakimay 74,4705805,47.619,46.6667
Ochapowace 71,4705806,54.5455,53.5714
Shesheep 74A,4705807,40,40
Montmartre No. 126,4706001,53.1915,54.3478
Montmartre,4706002,61.7021,60.9756
Kendal,4706003,60,60
Francis No. 127,4706004,53.125,53.2609
Odessa,4706006,63.6364,52.6316
Vibank,4706007,56.8182,57.1429
Sedley,4706008,57.6923,57.6923
Francis,4706009,60,55.5556
Lajord No. 128,4706011,57.1429,55.3191
Bratt's Lake No. 129,4706013,58.3333,58.3333
Wilcox,4706014,54.0541,52.9412
Redburn No. 130,4706016,61.5385,61.5385
Rouleau,4706017,55.1724,56.8627
Briercrest,4706018,64.7059,64.7059
Drinkwater,4706019,37.5,42.8571
Pense No. 160,4706021,47.2222,48.5714
Belle Plaine,4706022,66.6667,62.5
Pense,4706023,52.1739,47.619
Sherwood No. 159,4706026,45.679,44.1558
Regina,4706027,51.9004,51.6282
Grand Coulee,4706028,53.125,55.3571
Edenwold No. 158,4706029,52.3256,52.3327
White City,4706030,51.5738,52.1519
Pilot Butte,4706031,51.2195,52.2222
Balgonie,4706032,50,49.0099
Edenwold,4706033,56.4103,56.4103
South Qu'Appelle No. 157,4706034,56.25,54.7445
Qu'Appelle,4706036,57.377,56.3636
McLean,4706037,61.5385,63.8889
Indian Head No. 156,4706038,51.1111,50
Indian Head,4706039,53.0303,53.1915
Sintaluta,4706041,62.5,71.4286
Abernethy No. 186,4706042,45.4545,46.5116
Fort San,4706045,54.1667,50
Abernethy,4706046,38.8889,38.8889
Balcarres,4706047,44.4444,47.0588
North Qu'Appelle No. 187,4706048,48.3516,46.4286
Lebret,4706049,44.4444,41.1765
Katepwa,4706050,51.2195,53.8462
Fort Qu'Appelle,4706051,48.4848,47.0199
B-Say-Tah,4706052,66.6667,63.6364
Lumsden No. 189,4706053,54.3103,53.9823
Disley,4706054,50,50
Buena Vista,4706055,51.4286,52.9412
Lumsden,4706056,46.5608,47.4576
Lumsden Beach,4706057,66.6667,66.6667
Regina Beach,4706058,55.6391,55.5556
Dufferin No. 190,4706059,55.5556,55.5556
Wee Too Beach,4706060,66.6667,66.6667
Bethune,4706061,54.902,53.3333
Sarnia No. 221,4706063,53.125,56.6667
Chamberlain,4706064,63.6364,60
Alice Beach,4706065,100,100
Holdfast,4706067,50,52.6316
Dilke,4706068,85.7143,85.7143
Grandview Beach,4706069,57.1429,66.6667
Longlaketon No. 219,4706070,56.2044,57.037
McKillop No. 220,4706071,57.3913,56.8807
Saskatchewan Beach,4706072,52.381,52.5
Bulyea,4706073,63.6364,60
Strasbourg,4706074,58.4615,61.6667
Kannata Valley,4706075,72.7273,72.7273
Silton,4706077,40,40
Craven,4706078,51.6129,51.6129
Earl Grey,4706079,42.8571,42.8571
Glen Harbour,4706080,60,60
North Grove,4706081,75,75
Island View,4706085,53.8462,50
Cupar No. 218,4706091,47.1429,48.4848
Southey,4706092,58.8889,59.5238
Cupar,4706094,49.0196,46
Lipton No. 217,4706096,55.3191,56.5217
Dysart,4706097,53.3333,53.3333
Lipton,4706098,57.1429,57.1429
Tullymet No. 216,4706099,55.1724,53.8462
Piapot 75,4706809,60.6061,59.2593
Assiniboine 76,4706810,48.4848,46.1538
Standing Buffalo 78,4706811,44.6809,47.0588
Pasqua 79,4706812,51.3514,51.6129
Muscowpetung 80,4706813,47.3684,52.9412
Little Black Bear 84,4706814,50,60
Okanese 82,4706815,50,42.8571
Peepeekisis 81,4706816,50,42.1053
Star Blanket 83,4706818,71.4286,42.8571
Wa-Pii Moos-Toosis (White Calf) 83A,4706820,42.8571,60
Baildon No. 131,4707001,70.1754,71.4286
Hillsborough No. 132,4707004,54.5455,54.5455
Rodgers No. 133,4707006,54.5455,54.5455
Shamrock No. 134,4707011,50,50
Lawtonia No. 135,4707014,64.5161,63.3333
Hodgeville,4707016,61.9048,52.6316
Coulee No. 136,4707018,49.0909,47.1698
Beaver Flat,4707020,80,80
Excelsior No. 166,4707021,54.1667,54.2857
Waldeck,4707022,48.2759,50
Rush Lake,4707023,71.4286,71.4286
Morse No. 165,4707024,59.5238,61.5385
Herbert,4707026,52.1739,50
Morse,4707027,50,40
Chaplin No. 164,4707029,36.3636,36.3636
Chaplin,4707031,63.1579,61.1111
Wheatlands No. 163,4707032,62.963,62.963
Mortlach,4707034,53.5714,50
Caron No. 162,4707036,60.274,57.7465
Caronport,4707037,51.6484,53.1646
Moose Jaw No. 161,4707038,58.209,57.6923
Moose Jaw,4707039,52.424,52.0293
Marquis No. 191,4707042,52.1739,54.5455
Tuxford,4707043,58.3333,58.3333
Marquis,4707044,57.1429,57.1429
Sun Valley,4707045,66.6667,66.6667
Eyebrow No. 193,4707047,56,59.0909
Brownlee,4707048,71.4286,71.4286
Eyebrow,4707049,43.75,43.75
South Lake,4707051,54.5455,55.5556
Enfield No. 194,4707053,46.3415,45.9459
Central Butte,4707054,52.5,50
Canaan No. 225,4707058,57.1429,57.1429
Lucky Lake,4707059,45,45
Beechy,4707062,50,50
Victory No. 226,4707063,56,56
King George No. 256,4707066,48,50
Coteau No. 255,4707067,50,50
Coteau Beach,4707068,60,60
Maple Bush No. 224,4707071,64.7059,75
Riverhurst,4707072,53.8462,53.8462
Mistusinne,4707074,50,50
Huron No. 223,4707076,50,54.5455
Tugaske,4707077,75,75
Craik No. 222,4707091,60.5263,59.4595
Craik,4707092,63.1579,62.1622
Swift Current No. 137,4708001,54.3478,54.0179
Swift Current,4708004,51.9058,51.9661
Webb No. 138,4708006,55.1724,55.1724
Webb,4708008,66.6667,50
Gull Lake No. 139,4708009,50,48.1481
Gull Lake,4708011,54.1667,55.1724
Tompkins,4708012,50,42.8571
Big Stick No. 141,4708016,57.8947,57.8947
Enterprise No. 142,4708021,55.5556,58.8235
Richmound,4708022,61.5385,80
Fox Valley No. 171,4708024,61.5385,61.5385
Fox Valley,4708026,60,60.7143
Pittville No. 169,4708028,52.1739,52.1739
Hazlet,4708029,50,50
Riverside No. 168,4708031,53.6585,53.6585
Cabri,4708032,61.5385,60
Pennant,4708034,61.5385,70
Saskatchewan Landing No. 167,4708038,48.9796,50
Stewart Valley,4708039,50,38.4615
Lacadena No. 228,4708042,52.3256,52.381
Kyle,4708044,52.381,52.5
Miry Creek No. 229,4708046,56.6667,56.6667
Abbey,4708048,45.4545,44.4444
Lancer,4708049,66.6667,66.6667
Clinworth No. 230,4708053,70,70
Sceptre,4708054,75,75
Happyland No. 231,4708056,61.5385,61.5385
Prelate,4708057,50,50
Leader,4708058,52.6316,50
Deer Forks No. 232,4708061,57.1429,61.5385
Burstall,4708062,64.7059,62.069
Chesterfield No. 261,4708065,56,57.1429
Eatonia,4708068,50.8772,52.7273
Newcombe No. 260,4708071,53.125,55.1724
Snipe Lake No. 259,4708074,57.6923,56
Eston,4708076,50.5263,50.5495
Monet No. 257,4708092,58.8235,58.8235
Elrose,4708094,50,51.0638
Calder No. 241,4709001,52.6316,55.8824
Calder,4709002,50,0
Wallace No. 243,4709006,57.2917,55.4348
Rhein,4709009,56.25,57.1429
Orkney No. 244,4709011,56.7308,56.3452
Yorkton,4709012,50.9069,50.6536
Ebenezer,4709014,59.0909,55
Springside,4709016,50.9434,50
Garry No. 245,4709019,57.4468,60
Insinger No. 275,4709023,61.3636,59.0909
Sheho,4709024,54.5455,50
Theodore,4709028,53.8462,58.3333
Good Lake No. 274,4709029,56.044,58.1395
Canora,4709032,55.9322,55.414
Sliding Hills No. 273,4709033,60.8696,56.0976
Cote No. 271,4709037,48.2143,49.0196
Togo,4709038,44.4444,37.5
Kamsack,4709039,53.8961,50.7353
St. Philips No. 301,4709042,57.1429,57.1429
Pelly,4709044,42.8571,45.4545
Keys No. 303,4709046,60.5263,57.5758
Buchanan No. 304,4709049,55.8824,51.6129
Buchanan,4709053,52.381,57.8947
Invermay No. 305,4709054,62.963,68
Rama,4709056,75,75
Invermay,4709058,51.7241,52.1739
Hazel Dell No. 335,4709060,57.6923,57.4468
Lintlaw,4709061,81.8182,77.7778
Preeceville No. 334,4709062,60.6383,60.2273
Preeceville,4709064,52.1277,50.5882
Endeavour,4709065,66.6667,50
Sturgis,4709066,57.377,55.1724
Clayton No. 333,4709067,59.2105,56.7568
Stenen,4709069,72.7273,72.7273
Hyas,4709071,25,28.5714
Norquay,4709072,55.5556,50
Livingston No. 331,4709075,52.5,55.5556
Cote 64,4709819,48.5714,41.9355
Keeseekoose 66,4709820,55.5556,56.5217
The Key 65,4709821,66.6667,50
Hubbard,4710002,42.8571,42.8571
Ituna Bon Accord No. 246,4710003,58.8235,58.8235
Ituna,4710004,53.1915,56.4103
Kellross No. 247,4710008,54.5455,51.0204
Kelliher,4710009,47.8261,47.619
Touchwood No. 248,4710014,51.4286,51.7241
Semans,4710022,75,81.8182
Mount Hope No. 279,4710024,61.194,60.6061
Raymore,4710027,57.1429,55.9322
Quinton,4710028,0,0
Punnichy,4710029,46.1538,54.5455
Emerald No. 277,4710031,56,56.5217
Foam Lake No. 276,4710036,62.1622,59.7222
Foam Lake,4710038,58.2418,57.4713
Elfros No. 307,4710041,53.8462,55.2632
Elfros,4710043,66.6667,60
Big Quill No. 308,4710046,63.6364,63.6364
Wynyard,4710047,54.8193,54.4304
Prairie Rose No. 309,4710052,65,65
Jansen,4710054,57.1429,66.6667
Leroy No. 339,4710056,60,60.3448
Leroy,4710058,54.5455,54
Lakeside No. 338,4710061,47.3684,47.2222
Watson,4710062,52.8571,53.7313
Quill Lake,4710064,50,53.8462
Lakeview No. 337,4710066,51.8519,50
Wadena,4710068,56.4103,54.8673
Sasman No. 336,4710071,51.0638,51.6484
Margo,4710072,100,100
Muskowekwan 85,4710822,51.8519,45
Gordon 86,4710823,56.25,48.5714
Day Star 87,4710824,46.6667,45.4545
Poorman 88,4710825,52.6316,50
Fishing Lake 89,4710826,59.375,54.5455
Duval,4711002,42.8571,50
Last Mountain Valley No. 250,4711003,51.2195,51.2195
Govan,4711004,70,62.5
Big Arm No. 251,4711006,50,50
Imperial,4711008,52.7778,57.5758
Liberty,4711009,40,40
Arm River No. 252,4711011,46.875,50
Davidson,4711014,56.7568,56.7568
Willner No. 253,4711016,53.5714,53.5714
Loreburn No. 254,4711018,60,58.8235
Elbow,4711019,52.381,52.5
Loreburn,4711021,66.6667,66.6667
Strongfield,4711022,80,80
Hawarden,4711024,50,50
Rudy No. 284,4711026,58.1395,60.9756
Outlook,4711027,57.2115,55.0505
Broderick,4711028,45.4545,44.4444
Rosedale No. 283,4711031,50.9091,52.8302
Hanley,4711032,50.9804,52.1739
McCraney No. 282,4711034,48.4848,45.1613
Kenaston,4711036,53.3333,51.7241
Bladworth,4711038,62.5,62.5
Wood Creek No. 281,4711039,55.1724,53.8462
Simpson,4711041,58.3333,77.7778
Wreford No. 280,4711042,50,50
Nokomis,4711044,50,50
Usborne No. 310,4711046,56,56.25
Drake,4711048,58.8235,57.1429
Lanigan,4711049,55.7143,54.5455
Morris No. 312,4711052,55.5556,52.9412
Watrous,4711053,51.6304,51.4124
Manitou Beach,4711054,41.1765,41.9355
Young,4711056,42.8571,42.8571
Lost River No. 313,4711059,61.9048,61.9048
Thode,4711060,45,38.8889
Dundurn No. 314,4711061,55.4502,55.665
Dundurn,4711063,59.0361,55.2632
Shields,4711064,51.3514,50
Corman Park No. 344,4711065,54.3323,54.4672
Saskatoon,4711066,51.641,51.5241
Langham,4711067,56.9536,57.0423
Warman,4711068,52.0355,52.5371
Blucher No. 343,4711069,54.6296,54.4554
Martensville,4711070,52.6359,52.7368
Bradwell,4711071,52.9412,50
Allan,4711072,57.971,59.6774
Dalmeny,4711073,50,50.5263
Osler,4711075,50.3759,51.938
Colonsay No. 342,4711076,56.6667,61.5385
Clavet,4711077,50,47.8261
Meacham,4711078,71.4286,60
Colonsay,4711079,57.7778,57.1429
Viscount No. 341,4711091,47.3684,48.6486
Viscount,4711092,52,50
Plunkett,4711094,66.6667,66.6667
Wolverine No. 340,4711096,55.7143,53.6232
